"Food";"Country";"Production type";"Sample unit";"Units tested";"Positive for MRSA (%)"
"Crustaceans";"Germany";"Crustaceans - unspecified - raw";"single";226;"25 (11.1%)"
"Meat from bovine animals";"Netherlands";"Meat from bovine animals - fresh";"single";475;"36 (7.6%)"
"Meat from bovine animals";"Republic of North Macedonia";"Meat from bovine animals - fresh - chilled";"single";4;"0 (0%)"
"Meat from broilers (Gallus gallus)";"Austria";"Meat from broilers (Gallus gallus) - fresh - chilled";"batch";325;"15 (4.6%)"
"Meat from broilers (Gallus gallus)";"Germany";"Meat from broilers (Gallus gallus) - carcase";"single";405;"74 (18.3%)"
"Meat from broilers (Gallus gallus)";"Germany";"Meat from broilers (Gallus gallus) - fresh - chilled";"single";26;"0 (0%)"
"Meat from broilers (Gallus gallus)";"Germany";"Meat from broilers (Gallus gallus) - fresh - chilled - conventional production";"single";386;"6 (1.6%)"
"Meat from broilers (Gallus gallus)";"Germany";"Meat from broilers (Gallus gallus) - fresh - chilled - organic production";"single";286;"1 (0.3%)"
"Meat from broilers (Gallus gallus)";"Italy";"Meat from broilers (Gallus gallus) - fresh - chilled";"single";2;"2 (100%)"
"Meat from broilers (Gallus gallus)";"Netherlands";"Meat from broilers (Gallus gallus) - fresh - chilled";"single";407;"28 (6.9%)"
"Meat from broilers (Gallus gallus)";"Norway";"Meat from broilers (Gallus gallus) - fresh";"batch";325;"0 (0%)"
"Meat from broilers (Gallus gallus)";"Republic of North Macedonia";"Meat from broilers (Gallus gallus) - fresh - chilled";"single";4;"0 (0%)"
"Meat from deer (venison)";"Netherlands";"Meat from deer (venison) - fresh - frozen";"batch";18;"0 (0%)"
"Meat from pig";"Netherlands";"Meat from pig - fresh";"single";279;"22 (7.9%)"
"Meat from pig";"Republic of North Macedonia";"Meat from pig - fresh - chilled";"single";7;"0 (0%)"
"Meat from sheep";"Netherlands";"Meat from sheep - fresh";"single";124;"6 (4.8%)"
"Meat from sheep";"Netherlands";"Meat from sheep - meat preparation - intended to be eaten cooked";"single";30;"1 (3.3%)"
"Meat from turkey";"Austria";"Meat from turkey - fresh - chilled";"batch";173;"28 (16.2%)"
"Meat from turkey";"Germany";"Meat from turkey - carcase";"single";400;"226 (56.5%)"
"Meat from turkey";"Germany";"Meat from turkey - fresh - chilled";"single";355;"47 (13.2%)"
"Meat from turkey";"Italy";"Meat from turkey - fresh - chilled";"single";1;"1 (100%)"
"Meat from turkey";"Netherlands";"Meat from turkey - fresh - chilled";"single";21;"5 (23.8%)"
"Meat from turkey";"Norway";"Meat from turkey - fresh";"batch";114;"0 (0%)"
"Meat from wild game - birds";"Netherlands";"Meat from wild game - birds - fresh";"batch";4;"0 (0%)"
